0,2.15
0.01,2.15
0.02,2.15
0.03,2.15
0.04,2.15
0.05,-1.61
0.06,-1.61
0.07,-1.61
0.08,-1.61
0.09,-1.61
0.1,-1.61
0.11,-1.61
0.12,-1.61
0.13,-1.61
0.14,-1.61
0.15,-1.61
0.16,2.16
0.17,2.15
0.18,2.15
0.19,2.15
0.2,2.15
0.21,2.15
0.22,2.15
0.23,2.15
0.24,2.15
0.25,2.15
0.26,2.15
0.27,-1.61
0.28,-1.61
0.29,-1.61
0.3,-1.61
0.31,-1.61
0.32,-1.61
0.33,-1.61
0.34,-1.61
0.35,-1.61
0.36,-1.61
0.37,-1.61
0.38,2.15
0.39,2.15
0.4,2.15
0.41,2.15
0.42,2.15
0.43,2.15
0.44,2.15
0.45,2.15
0.46,2.15
0.47,2.15
0.48,2.15
0.49,-1.61
0.5,-1.61
0.51,-1.61
0.52,-1.61
0.53,-1.61
0.54,-1.61
0.55,-1.61
0.56,-1.61
0.57,-1.61
0.58,-1.61
0.59,-1.61
0.6,2.15
0.61,2.15
0.62,2.15
0.63,2.15
0.64,2.15
0.65,2.15
0.66,2.15
0.67,2.15
0.68,2.15
0.69,2.15
0.7,2.15
0.71,-1.61
0.72,-1.61
0.73,-1.61
0.74,-1.61
0.75,-1.61
0.76,-1.61
0.77,-1.61
0.78,-1.61
0.79,-1.61
0.8,-1.61
0.81,-1.61
0.82,2.15
0.83,2.15
0.84,2.15
0.85,2.15
0.86,2.15
0.87,2.15
0.88,2.15
0.89,2.15
0.9,2.15
0.91,2.15
0.92,2.15
0.93,-1.61
0.94,-1.61
0.95,-1.61
0.96,-1.61
0.97,-1.61
0.98,-1.61
0.99,-1.61
1,-1.61
1.01,-1.61
1.02,-1.61
1.03,-1.61
1.04,2.15
1.05,2.15
1.06,2.15
1.07,2.15
1.08,2.15
1.09,2.15
1.1,2.15
1.11,2.15
1.12,2.15
1.13,2.15
1.14,2.14
1.15,-1.61
1.16,-1.61
1.17,-1.61
1.18,-1.61
1.19,-1.61
1.2,-1.61
1.21,-1.61
1.22,-1.61
1.23,-1.61
1.24,-1.61
1.25,2.15
1.26,2.15
1.27,2.15
1.28,2.15
1.29,2.15
1.3,2.15
1.31,2.15
1.32,2.15
1.33,2.15
1.34,2.15
1.35,2.15
1.36,-1.61
1.37,-1.61
1.38,-1.61
1.39,-1.61
1.4,-1.61
1.41,-1.61
1.42,-1.61
1.43,-1.61
1.44,-1.61
1.45,-1.61
1.46,-1.61
1.47,2.15
1.48,2.15
1.49,2.15
1.5,2.15
1.51,2.15
1.52,2.15
1.53,2.15
1.54,2.15
1.55,2.15
1.56,2.15
1.57,2.15
1.58,-1.61
1.59,-1.61
1.6,-1.61
1.61,-1.61
1.62,-1.61
1.63,-1.61
1.64,-1.61
1.65,-1.61
1.66,-1.61
1.67,-1.61
1.68,-1.61
1.69,2.15
1.7,2.15
1.71,2.15
1.72,2.15
1.73,2.15
1.74,2.15
1.75,2.15
1.76,2.15
1.77,2.15
1.78,2.15
1.79,2.15
1.8,-1.61
1.81,-1.61
1.82,-1.61
1.83,-1.61
1.84,-1.61
1.85,-1.61
1.86,-1.61
